claim,value
WitDictEntries,"2,522"
WitDictProbes,24
WitDictReduction,5461
WitDictLatency,0.48
WitRleColumns,21
WitRleReductionMedian,17
WitRleLatency,0.066
WitCrateVersion,0.2.0
WitRuleFingerprint,0xe7c55a2cfa18e078
WitCertificateHeaderBytes,16
