case,recipe,query,node,operation,row_start,row_end,guarantee,closure,logical_bytes,delivered_bytes,possible_fields,reason
4,"Patch(Dictionary(BitPack))",GET,4,MaterializeRows,8199,8200,ExactScalar,exact,0,0,"",""
4,"Patch(Dictionary(BitPack))",SUM_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,576,576,"",""
4,"Patch(Dictionary(BitPack))",SUM_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
4,"Patch(Dictionary(BitPack))",SUM_1PCT,2,ReadRange { field: FieldId(5), bytes: Span { start: 2027, end: 2069 } },8111,8274,PhysicalBytes,exact,618,640,"",""
4,"Patch(Dictionary(BitPack))",SUM_1PCT,3,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"4","decoded ids determine the referenced dictionary subset"
4,"Patch(Dictionary(BitPack))",SUM_1PCT,4,AggregateEncoded,8111,8274,ExactScalar,exact,0,0,"",""
4,"Patch(Dictionary(BitPack))",BETWEEN_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,576,576,"",""
4,"Patch(Dictionary(BitPack))",BETWEEN_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
4,"Patch(Dictionary(BitPack))",BETWEEN_1PCT,2,ReadRange { field: FieldId(5), bytes: Span { start: 2027, end: 2069 } },8111,8274,PhysicalBytes,exact,618,640,"",""
4,"Patch(Dictionary(BitPack))",BETWEEN_1PCT,3,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"4","decoded ids determine the referenced dictionary subset"
4,"Patch(Dictionary(BitPack))",BETWEEN_1PCT,4,RefineCandidates,8111,8274,ExactBitmap,exact,0,0,"",""
4,"Patch(Dictionary(BitPack))",FILTER_POINT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,576,576,"",""
4,"Patch(Dictionary(BitPack))",FILTER_POINT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
4,"Patch(Dictionary(BitPack))",FILTER_POINT,2,ReadRange { field: FieldId(5), bytes: Span { start: 0, end: 4096 } },0,16384,PhysicalBytes,exact,4672,4672,"",""
4,"Patch(Dictionary(BitPack))",FILTER_POINT,3,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"4","decoded ids determine the referenced dictionary subset"
4,"Patch(Dictionary(BitPack))",FILTER_POINT,4,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
4,"Patch(Dictionary(BitPack))",FILTER_50PCT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,576,576,"",""
4,"Patch(Dictionary(BitPack))",FILTER_50PCT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2|3","patch index determines intersecting positions and exceptions"
4,"Patch(Dictionary(BitPack))",FILTER_50PCT,2,ReadRange { field: FieldId(5), bytes: Span { start: 0, end: 4096 } },0,16384,PhysicalBytes,exact,4672,4672,"",""
4,"Patch(Dictionary(BitPack))",FILTER_50PCT,3,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"4","decoded ids determine the referenced dictionary subset"
4,"Patch(Dictionary(BitPack))",FILTER_50PCT,4,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,0,LoadMetadata { field: FieldId(0) },8199,8200,PhysicalBytes,exact,832,832,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,1,RefineCandidates,8199,8200,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3|4|5","patch index determines intersecting positions and exceptions"
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"6","FOR child rows are runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,4,SeekRestart { field: FieldId(7), restart: 0 },0,15420,PhysicalBytes,runtime_refined,0,0,"7","delta restart range is runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,5,ReadRange { field: FieldId(8), bytes: Span { start: 0, end: 11565 } },0,15420,PhysicalBytes,runtime_refined,0,0,"8","bit range depends on runtime-refined parent rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",GET,6,MaterializeRows,8199,8200,ExactScalar,exact,0,0,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,832,832,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3|4|5","patch index determines intersecting positions and exceptions"
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"6","FOR child rows are runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,4,SeekRestart { field: FieldId(7), restart: 0 },0,15420,PhysicalBytes,runtime_refined,0,0,"7","delta restart range is runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,5,ReadRange { field: FieldId(8), bytes: Span { start: 0, end: 11565 } },0,15420,PhysicalBytes,runtime_refined,0,0,"8","bit range depends on runtime-refined parent rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",SUM_1PCT,6,AggregateEncoded,8111,8274,ExactScalar,exact,0,0,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,0,LoadMetadata { field: FieldId(0) },8111,8274,PhysicalBytes,exact,832,832,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,1,RefineCandidates,8111,8274,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3|4|5","patch index determines intersecting positions and exceptions"
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"6","FOR child rows are runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,4,SeekRestart { field: FieldId(7), restart: 0 },0,15420,PhysicalBytes,runtime_refined,0,0,"7","delta restart range is runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,5,ReadRange { field: FieldId(8), bytes: Span { start: 0, end: 11565 } },0,15420,PhysicalBytes,runtime_refined,0,0,"8","bit range depends on runtime-refined parent rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",BETWEEN_1PCT,6,RefineCandidates,8111,8274,ExactBitmap,exact,0,0,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,832,832,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3|4|5","patch index determines intersecting positions and exceptions"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"6","FOR child rows are runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,4,SeekRestart { field: FieldId(7), restart: 0 },0,15420,PhysicalBytes,runtime_refined,0,0,"7","delta restart range is runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,5,ReadRange { field: FieldId(8), bytes: Span { start: 0, end: 11565 } },0,15420,PhysicalBytes,runtime_refined,0,0,"8","bit range depends on runtime-refined parent rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_POINT,6,RefineCandidates,0,16384,ExactBitmap,exact,0,0,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_50PCT,0,LoadMetadata { field: FieldId(0) },0,16384,PhysicalBytes,exact,832,832,"",""
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_50PCT,1,RefineCandidates,0,16384,PhysicalBytes,runtime_refined,0,0,"1|2","validity ranks determine compact child rows"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_50PCT,2,RefineCandidates,0,15420,PhysicalBytes,runtime_refined,0,0,"3|4|5","patch index determines intersecting positions and exceptions"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_50PCT,3,ReadRange { field: FieldId(6), bytes: Span { start: 0, end: 8 } },0,15420,PhysicalBytes,runtime_refined,0,0,"6","FOR child rows are runtime-refined"
5,"Nullable(Patch(FOR(Delta(BitPack))))",FILTER_50PCT,4,SeekRestart { field: FieldId(7), restart: 0 },0,15420,PhysicalBytes,runtime_refined,0,0,"7","delta restart range is runtime-refined"
