kind,case,query,p25_ns,median_ns,p75_ns
plan_compilation,16,GET,5751.4,5761.7,5791.5
plan_compilation,16,SUM_1PCT,5774.9,5789.3,5806.4
plan_compilation,16,SUM_70PCT,5794.3,5807.3,5810.2
plan_compilation,16,BETWEEN_1PCT,5760.3,5769.7,5811.6
plan_compilation,16,BETWEEN_70PCT,5748.2,5753.4,5771.7
plan_compilation,16,FILTER_POINT,939.1,941.6,950.5
plan_compilation,16,FILTER_50PCT,936.3,943.6,946.2
plan_compilation,17,GET,1878.3,1886.1,1895.1
plan_compilation,17,SUM_1PCT,1880.3,1886.4,1896.3
plan_compilation,17,SUM_70PCT,1856.5,1887.3,1890.2
plan_compilation,17,BETWEEN_1PCT,2008.6,2021.3,2033.8
plan_compilation,17,BETWEEN_70PCT,2005.6,2024.1,2036.6
plan_compilation,17,FILTER_POINT,2273.6,2287.0,2292.4
plan_compilation,17,FILTER_50PCT,2255.3,2257.4,2264.0
plan_compilation,18,GET,1299.8,1305.9,1309.1
plan_compilation,18,SUM_1PCT,1396.9,1404.1,1413.7
plan_compilation,18,SUM_70PCT,4535.3,4563.1,4572.9
plan_compilation,18,BETWEEN_1PCT,1409.0,1413.2,1416.7
plan_compilation,18,BETWEEN_70PCT,4566.5,4572.8,4585.1
plan_compilation,18,FILTER_POINT,694.9,707.5,711.0
plan_compilation,18,FILTER_50PCT,680.8,694.7,697.0
rust_crate_compilation,all,all,9137903825,9195658803,9281812151
