case,split,recipe,query,rows,selectivity,tier,plan,p25_ns,median_ns,p75_ns,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,decoded_rows,file_bytes,metadata_bytes,layout_frames,restart_entries,rle_runs,dictionary_entries,patch_count,nullable_nodes
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,buffered_hot,selective_closure,57913.9,57923.9,58511.0,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,buffered_hot,broad_fused,812582.0,817008.0,820624.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,buffered_drop_cache,selective_closure,224935.0,225216.0,229262.0,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,819,0.04998779,buffered_drop_cache,broad_fused,945370.0,947914.0,950688.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,memory_warm,selective_closure,47289.6,47372.7,47749.2,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,memory_warm,broad_fused,831400.0,832191.0,832452.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,mmap_hot,selective_closure,47605.0,47941.5,47975.6,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,mmap_hot,broad_fused,832090.0,834795.0,835025.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,buffered_hot,selective_closure,59918.1,60505.2,60566.6,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,buffered_hot,broad_fused,837990.0,838530.0,840884.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,buffered_drop_cache,selective_closure,224825.0,230844.0,230974.0,2215,2552,2552,14,0,819,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,819,0.04998779,buffered_drop_cache,broad_fused,965620.0,966031.0,968685.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,memory_warm,selective_closure,89583.6,90320.8,90378.8,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,memory_warm,broad_fused,826753.0,828806.0,829637.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,mmap_hot,selective_closure,89922.2,90465.0,90527.0,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,mmap_hot,broad_fused,830559.0,832832.0,834614.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,buffered_hot,selective_closure,111636.5,112082.0,112623.0,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,buffered_hot,broad_fused,830659.0,831310.0,837179.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,buffered_drop_cache,selective_closure,277965.0,279026.0,281490.0,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,1638,0.09997559,buffered_drop_cache,broad_fused,958489.0,960904.0,962365.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,memory_warm,selective_closure,93407.2,94018.2,94663.2,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,memory_warm,broad_fused,832041.0,834264.0,835416.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,mmap_hot,selective_closure,93775.8,93800.0,94475.0,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,mmap_hot,broad_fused,835406.0,835907.0,835947.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,buffered_hot,selective_closure,115029.0,116003.0,116246.0,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,buffered_hot,broad_fused,834354.0,836137.0,838340.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,buffered_drop_cache,selective_closure,282321.0,283463.0,283884.0,3966,4312,4312,24,0,1638,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,1638,0.09997559,buffered_drop_cache,broad_fused,966281.0,966542.0,966672.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,memory_warm,selective_closure,176443.5,176603.5,178160.5,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,memory_warm,broad_fused,826173.0,828595.0,830629.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,mmap_hot,selective_closure,175987.5,176052.5,176683.5,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,mmap_hot,broad_fused,832021.0,832581.0,832913.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,buffered_hot,selective_closure,218085.5,218926.5,220043.0,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,buffered_hot,broad_fused,833794.0,837840.0,838330.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,buffered_drop_cache,selective_closure,381319.0,381489.0,394298.0,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",SUM,3276,0.19995117,buffered_drop_cache,broad_fused,960903.0,964669.0,970808.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,memory_warm,selective_closure,183564.0,183689.0,184590.0,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,memory_warm,broad_fused,840003.0,843388.0,845721.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,mmap_hot,selective_closure,184224.5,184420.0,185952.5,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,mmap_hot,broad_fused,840544.0,840744.0,841705.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,buffered_hot,selective_closure,220378.5,220989.5,222141.0,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,buffered_hot,broad_fused,842226.0,843498.0,844460.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,buffered_drop_cache,selective_closure,387838.0,390643.0,404474.0,7441,7768,7768,42,0,3276,35728,448,0,0,0,0,0,1
0,train,"Nullable(FOR(BitPack))",BETWEEN,3276,0.19995117,buffered_drop_cache,broad_fused,970117.0,970247.0,972550.0,35276,35728,35728,1,0,16384,35728,448,0,0,0,0,0,1
