case,split,recipe,query,tier,first_fused_win_rows,first_fused_win_selectivity,selective_wins,cells
9,train,"Frame(Dictionary(RLE(BitPack)))",BETWEEN,buffered_drop_cache,16384,1.00000000,16,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",SUM,memory_warm,16384,1.00000000,16,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",SUM,mmap_hot,16384,1.00000000,16,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",SUM,buffered_hot,14745,0.89996338,15,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",SUM,buffered_drop_cache,14745,0.89996338,15,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",BETWEEN,memory_warm,16384,1.00000000,16,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",BETWEEN,mmap_hot,16384,1.00000000,16,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",BETWEEN,buffered_hot,14745,0.89996338,15,17
10,heldout,"Nullable(Patch(Dictionary(RLE(BitPack))))",BETWEEN,buffered_drop_cache,14745,0.89996338,15,17
11,heldout,"Frame(Patch(FOR(BitPack)))",SUM,memory_warm,16384,1.00000000,16,17
11,heldout,"Frame(Patch(FOR(BitPack)))",SUM,mmap_hot,16384,1.00000000,16,17
11,heldout,"Frame(Patch(FOR(BitPack)))",SUM,buffered_hot,16384,1.00000000,16,17
11,heldout,"Frame(Patch(FOR(BitPack)))",SUM,buffered_drop_cache,16384,1.00000000,16,17
11,heldout,"Frame(Patch(FOR(BitPack)))",BETWEEN,memory_warm,,,17,17
11,heldout,"Frame(Patch(FOR(BitPack)))",BETWEEN,mmap_hot,,,17,17
11,heldout,"Frame(Patch(FOR(BitPack)))",BETWEEN,buffered_hot,,,17,17
11,heldout,"Frame(Patch(FOR(BitPack)))",BETWEEN,buffered_drop_cache,,,17,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",SUM,memory_warm,16384,1.00000000,16,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",SUM,mmap_hot,16384,1.00000000,16,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",SUM,buffered_hot,11468,0.69995117,13,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",SUM,buffered_drop_cache,11468,0.69995117,13,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",BETWEEN,memory_warm,14745,0.89996338,15,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",BETWEEN,mmap_hot,16384,1.00000000,16,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",BETWEEN,buffered_hot,11468,0.69995117,13,17
12,heldout,"Patch(Dictionary(RLE(BitPack)))",BETWEEN,buffered_drop_cache,11468,0.69995117,13,17
13,heldout,"Nullable(Dictionary(BitPack))",SUM,memory_warm,16384,1.00000000,16,17
13,heldout,"Nullable(Dictionary(BitPack))",SUM,mmap_hot,16384,1.00000000,16,17
13,heldout,"Nullable(Dictionary(BitPack))",SUM,buffered_hot,14745,0.89996338,15,17
13,heldout,"Nullable(Dictionary(BitPack))",SUM,buffered_drop_cache,14745,0.89996338,15,17
13,heldout,"Nullable(Dictionary(BitPack))",BETWEEN,memory_warm,16384,1.00000000,16,17
13,heldout,"Nullable(Dictionary(BitPack))",BETWEEN,mmap_hot,16384,1.00000000,16,17
13,heldout,"Nullable(Dictionary(BitPack))",BETWEEN,buffered_hot,14745,0.89996338,15,17
13,heldout,"Nullable(Dictionary(BitPack))",BETWEEN,buffered_drop_cache,14745,0.89996338,15,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",SUM,memory_warm,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",SUM,mmap_hot,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",SUM,buffered_hot,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",SUM,buffered_drop_cache,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",BETWEEN,memory_warm,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",BETWEEN,mmap_hot,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",BETWEEN,buffered_hot,,,17,17
14,heldout,"Frame(Nullable(Patch(FOR(Delta(BitPack)))))",BETWEEN,buffered_drop_cache,16384,1.00000000,16,17
