pair,predicate,actual_selectivity,known_gen_ns,known_direct_gen_ns,known_fused_ns,known_parquet_ns,complete_gen_ns,complete_direct_gen_ns,complete_fused_ns,complete_scan_ns,parquet_full_ns,parquet_filter_ns,parquet_boundary_ns,parquet_boundary_p4096_ns,parquet_boundary_p16384_ns,known_gen_over_parquet,known_direct_gen_over_parquet,complete_gen_over_scan,complete_gen_over_parquet_full,complete_gen_over_parquet_filter,complete_gen_over_parquet_boundary,complete_gen_over_parquet_boundary_p4096,complete_gen_over_parquet_boundary_p16384,complete_direct_gen_over_parquet_boundary,complete_direct_gen_over_parquet_boundary_p16384,complete_direct_gen_over_storage_gen,discovery_multiplier,discovery_share,direct_discovery_share
19,0.1pct,0.00094328,19048.1,286.7,134112.8,7171.5,32873.7,920.1,148062.3,102193.9,72900.9,60440.4,12504.9,22869.0,60235.9,2.6561,0.0400,0.3217,0.4509,0.5439,2.6289,1.4375,0.5457,0.0736,0.0153,0.0280,1.7258,0.4206,0.6884
19,10pct,0.09998742,27264.1,18565.6,137522.2,10951.2,43597.7,19337.7,153665.3,111822.6,69536.9,64364.7,22961.2,37816.0,62438.7,2.4896,1.6953,0.3899,0.6270,0.6774,1.8988,1.1529,0.6982,0.8422,0.3097,0.4435,1.5991,0.3746,0.0399
19,1pct,0.00999874,20455.5,1980.6,134505.5,7614.4,38699.7,2622.3,152863.4,104073.1,72296.3,60748.4,12802.3,23201.3,60350.0,2.6864,0.2601,0.3719,0.5353,0.6370,3.0229,1.6680,0.6413,0.2048,0.0435,0.0678,1.8919,0.4714,0.2447
19,50pct,0.50000000,55915.4,92317.6,150463.6,28787.2,74361.6,93040.6,168881.8,144954.5,73089.4,83467.5,62005.3,64787.3,73824.9,1.9424,3.2069,0.5130,1.0174,0.8909,1.1993,1.1478,1.0073,1.5005,1.2603,1.2512,1.3299,0.2481,0.0078
20,0.1pct,0.00094751,15140.9,269.7,199547.6,6998.0,38608.0,905.0,223550.0,97795.4,66747.4,60687.0,12193.1,22475.3,59304.5,2.1636,0.0385,0.3948,0.5784,0.6362,3.1664,1.7178,0.6510,0.0742,0.0153,0.0234,2.5499,0.6078,0.7020
20,10pct,0.09999368,32698.1,18444.2,200289.7,10376.9,49693.2,19115.7,217559.9,116522.0,63185.2,63915.6,22465.6,37453.6,61281.0,3.1510,1.7774,0.4265,0.7865,0.7775,2.2120,1.3268,0.8109,0.8509,0.3119,0.3847,1.5198,0.3420,0.0351
20,1pct,0.00998042,16765.4,1955.3,199509.5,7482.8,33994.0,2581.2,217005.8,99509.4,62338.1,60868.9,12644.9,22936.2,59758.8,2.2405,0.2613,0.3416,0.5453,0.5585,2.6884,1.4821,0.5689,0.2041,0.0432,0.0759,2.0276,0.5068,0.2425
20,50pct,0.49996842,103546.5,91839.8,203271.9,25475.0,121496.1,92549.9,221634.1,191934.1,67302.8,79575.1,58571.9,64020.1,72782.2,4.0646,3.6051,0.6330,1.8052,1.5268,2.0743,1.8978,1.6693,1.5801,1.2716,0.7618,1.1733,0.1477,0.0077
21,0.1pct,0.00094328,24086.3,283.5,89183.0,7082.6,37922.3,916.4,102814.3,107066.3,65641.7,60256.7,12333.9,22610.7,67306.6,3.4008,0.0400,0.3542,0.5777,0.6293,3.0746,1.6772,0.5634,0.0743,0.0136,0.0242,1.5744,0.3649,0.6906
21,10pct,0.09998742,30043.9,18551.3,89689.6,10488.9,46070.8,19172.2,105709.3,114001.2,65794.8,64145.3,22577.3,37489.9,69453.2,2.8644,1.7687,0.4041,0.7002,0.7182,2.0406,1.2289,0.6633,0.8492,0.2760,0.4161,1.5334,0.3479,0.0324
21,1pct,0.00999874,24665.3,1976.8,89146.5,7446.0,42762.0,2630.4,107310.6,107901.4,65546.1,60784.7,12751.4,23062.5,67382.6,3.3126,0.2655,0.3963,0.6524,0.7035,3.3535,1.8542,0.6346,0.2063,0.0390,0.0615,1.7337,0.4232,0.2485
21,50pct,0.50000000,53644.9,92459.3,92077.8,24984.4,71904.6,93013.9,110183.1,142145.5,65279.0,80037.2,58159.4,63791.3,80735.8,2.1471,3.7007,0.5059,1.1015,0.8984,1.2363,1.1272,0.8906,1.5993,1.1521,1.2936,1.3404,0.2539,0.0060
22,0.1pct,0.00094619,13459.4,281.1,197920.1,7584.3,37414.3,917.6,221665.0,96433.8,77374.2,60512.0,12881.1,26018.1,67708.2,1.7746,0.0371,0.3880,0.4836,0.6183,2.9046,1.4380,0.5526,0.0712,0.0136,0.0245,2.7798,0.6403,0.6937
22,10pct,0.09998108,31111.9,18489.2,198823.0,13321.9,48742.9,19131.9,216457.2,115753.2,77786.4,66574.4,25506.0,44138.1,70515.9,2.3354,1.3879,0.4211,0.6266,0.7322,1.9110,1.1043,0.6912,0.7501,0.2713,0.3925,1.5667,0.3617,0.0336
22,1pct,0.00996657,15120.2,1994.2,197730.9,7805.3,32783.7,2626.3,215898.7,98154.9,76778.9,60866.7,13094.6,26160.6,67892.7,1.9372,0.2555,0.3340,0.4270,0.5386,2.5036,1.2532,0.4829,0.2006,0.0387,0.0801,2.1682,0.5388,0.2407
22,50pct,0.49996846,102370.0,92087.8,202362.8,32397.0,120349.4,92692.0,220178.3,190828.5,77407.4,87067.1,65306.0,74220.3,81270.3,3.1599,2.8425,0.6307,1.5548,1.3823,1.8429,1.6215,1.4809,1.4193,1.1405,0.7702,1.1756,0.1494,0.0065
23,0.1pct,0.00094739,12274.2,269.5,196579.2,7161.8,35899.6,907.2,220107.1,95110.9,69134.1,60411.3,12451.1,22590.5,59353.8,1.7138,0.0376,0.3774,0.5193,0.5943,2.8832,1.5891,0.6048,0.0729,0.0153,0.0253,2.9248,0.6581,0.7029
23,10pct,0.09998105,29900.1,18419.0,197584.6,10579.5,47300.5,19153.8,214674.6,114055.4,65583.8,64135.3,22746.2,37279.4,61638.8,2.8262,1.7410,0.4147,0.7212,0.7375,2.0795,1.2688,0.7674,0.8421,0.3107,0.4049,1.5820,0.3679,0.0384
23,1pct,0.00997916,13918.2,1946.6,196669.3,7578.9,31272.7,2602.4,214133.8,96805.8,64640.0,60749.6,12883.2,22904.7,59758.8,1.8364,0.2568,0.3230,0.4838,0.5148,2.4274,1.3653,0.5233,0.2020,0.0435,0.0832,2.2469,0.5549,0.2520
23,50pct,0.49996842,100696.4,91773.0,200296.7,25435.9,118375.4,92679.1,218336.7,189097.9,68809.4,80365.7,58642.6,64316.3,73158.3,3.9588,3.6080,0.6260,1.7203,1.4730,2.0186,1.8405,1.6181,1.5804,1.2668,0.7829,1.1756,0.1493,0.0098
24,0.1pct,0.00094685,11993.0,273.3,195877.1,7091.7,35051.6,904.4,219765.4,95181.5,66107.9,60197.0,12169.0,22380.8,58957.0,1.6911,0.0385,0.3683,0.5302,0.5823,2.8804,1.5661,0.5945,0.0743,0.0153,0.0258,2.9227,0.6578,0.6978
24,10pct,0.09998738,29592.8,18490.4,196922.6,10321.7,46619.7,19145.8,214718.0,113887.5,62558.6,63864.5,22407.5,37165.6,61505.2,2.8670,1.7914,0.4093,0.7452,0.7300,2.0805,1.2544,0.7580,0.8544,0.3113,0.4107,1.5754,0.3652,0.0342
24,1pct,0.00997349,13648.0,1972.9,196199.5,7425.2,30545.7,2633.9,213962.3,96853.9,61872.6,60786.3,12638.1,22868.4,59341.5,1.8381,0.2657,0.3154,0.4937,0.5025,2.4170,1.3357,0.5147,0.2084,0.0444,0.0862,2.2381,0.5532,0.2510
24,50pct,0.50000000,100374.2,91881.3,199951.1,24896.7,119245.2,92445.9,220443.1,189333.2,66073.3,80080.2,58568.8,64135.3,72643.9,4.0316,3.6905,0.6298,1.8047,1.4891,2.0360,1.8593,1.6415,1.5784,1.2726,0.7753,1.1880,0.1583,0.0061
25,0.1pct,0.00094381,22736.3,293.9,87989.6,7193.9,38480.5,929.2,103674.6,107366.8,66660.8,60607.9,12350.2,22583.8,59292.5,3.1605,0.0409,0.3584,0.5773,0.6349,3.1158,1.7039,0.6490,0.0752,0.0157,0.0241,1.6925,0.4091,0.6837
25,10pct,0.09998112,28543.1,18602.2,88472.4,10518.3,44402.3,19247.2,104085.2,114474.8,63766.1,64338.5,22866.3,37451.0,61455.4,2.7137,1.7686,0.3879,0.6963,0.6901,1.9418,1.1856,0.7225,0.8417,0.3132,0.4335,1.5556,0.3572,0.0335
25,1pct,0.00994148,23336.5,2058.9,87887.0,7382.7,41203.3,2617.7,105707.1,108038.1,62113.6,60885.9,12682.4,23013.7,59385.8,3.1610,0.2789,0.3814,0.6634,0.6767,3.2489,1.7904,0.6938,0.2064,0.0441,0.0635,1.7656,0.4336,0.2135
25,50pct,0.49996854,52183.3,92330.5,90911.9,25372.8,70538.8,93111.2,108944.2,142463.9,66592.7,80354.6,58624.1,63792.8,72345.3,2.0567,3.6390,0.4951,1.0593,0.8778,1.2032,1.1057,0.9750,1.5883,1.2870,1.3200,1.3518,0.2602,0.0084
26,0.1pct,0.00094631,11970.9,271.2,196627.6,7210.6,35725.5,911.4,220259.5,95127.0,73287.3,60103.9,12313.2,26563.1,59287.2,1.6602,0.0376,0.3756,0.4875,0.5944,2.9014,1.3449,0.6026,0.0740,0.0154,0.0255,2.9844,0.6649,0.7024
26,10pct,0.09999369,29512.8,18492.1,197248.1,10657.5,47232.6,19150.7,215150.8,113846.2,69599.1,63924.7,22895.0,41458.6,61536.1,2.7692,1.7351,0.4149,0.6786,0.7389,2.0630,1.1393,0.7676,0.8365,0.3112,0.4055,1.6004,0.3752,0.0344
26,1pct,0.00996783,13637.7,1956.7,196744.3,7369.3,31155.2,2596.8,213785.4,96954.1,68701.7,60262.6,12595.9,26759.0,59434.4,1.8506,0.2655,0.3213,0.4535,0.5170,2.4734,1.1643,0.5242,0.2062,0.0437,0.0834,2.2845,0.5623,0.2465
26,50pct,0.49996846,100369.6,92040.1,200441.9,30893.4,119744.8,92502.7,219998.0,189359.4,72891.9,85730.0,63663.0,67845.3,72815.6,3.2489,2.9793,0.6324,1.6428,1.3968,1.8809,1.7650,1.6445,1.4530,1.2704,0.7725,1.1930,0.1618,0.0050
27,0.1pct,0.00094589,13933.7,282.1,198517.0,7054.1,35780.7,925.1,220271.8,96596.0,77594.9,59889.3,12197.6,25610.1,67565.9,1.9753,0.0400,0.3704,0.4611,0.5974,2.9334,1.3971,0.5296,0.0758,0.0137,0.0259,2.5679,0.6106,0.6951
27,10pct,0.09994955,31454.5,18465.4,199130.1,12482.4,49317.8,19108.6,217209.4,115367.9,73926.4,66211.5,24597.4,44146.3,70394.6,2.5199,1.4793,0.4275,0.6671,0.7449,2.0050,1.1171,0.7006,0.7769,0.2714,0.3875,1.5679,0.3622,0.0337
27,1pct,0.00996343,15583.3,1989.4,198429.9,7317.7,32362.0,2627.5,215323.2,98334.6,77244.8,60141.2,12539.9,26034.4,67734.8,2.1295,0.2719,0.3291,0.4190,0.5381,2.5807,1.2430,0.4778,0.2095,0.0388,0.0812,2.0767,0.5185,0.2429
27,50pct,0.50000000,102465.9,91860.8,202583.1,31242.9,120944.1,92926.2,221087.4,191210.1,77220.3,86543.0,64695.1,73975.1,80923.6,3.2797,2.9402,0.6325,1.5662,1.3975,1.8694,1.6349,1.4945,1.4364,1.1483,0.7683,1.1803,0.1528,0.0115
28,0.1pct,0.00094542,23681.1,152.8,88603.5,9229.5,42934.5,788.4,107717.8,106397.6,77288.0,62352.6,14310.6,26331.2,61746.5,2.5658,0.0166,0.4035,0.5555,0.6886,3.0002,1.6306,0.6953,0.0551,0.0128,0.0184,1.8130,0.4484,0.8062
28,10pct,0.09996218,29674.7,5996.2,89473.9,12661.0,46841.5,6642.8,106679.6,113512.8,73740.0,66459.1,24750.4,41550.9,64062.8,2.3438,0.4736,0.4127,0.6352,0.7048,1.8926,1.1273,0.7312,0.2684,0.1037,0.1418,1.5785,0.3665,0.0973
28,1pct,0.00995840,24226.4,703.7,88864.8,9545.9,41444.3,1350.7,106386.9,107017.4,73194.7,62464.1,14668.3,26731.8,61878.7,2.5379,0.0737,0.3873,0.5662,0.6635,2.8254,1.5504,0.6698,0.0921,0.0218,0.0326,1.7107,0.4154,0.4790
