pair,predicate,baseline,p25_ns,median_ns,p75_ns,sum,selected_rows,logical_bytes,delivered_bytes,transferred_bytes,transfer_operations,frames_decoded,selector_decoded_rows,value_decoded_rows,selector_primitive_values_read,value_primitive_values_read,file_bytes,page_index_entries_examined,candidate_pages,boundary_order_used
6,1pct,generated_direct_selective,366.3,367.1,371.1,0,40,589,1256,1256,6,0,0,40,0,36,9024,0,0,false
6,1pct,parquet_row_selection,7813.1,7820.1,7843.1,0,40,0,1807,1807,4,0,0,40,0,40,6511,0,0,false
6,10pct,generated_selective,8824.5,8831.8,8834.2,116065735014,403,2042,3567,3567,2,1,0,403,0,404,3567,0,0,false
6,10pct,generated_fused,23961.6,23962.1,23963.7,116065735014,403,17464,3567,3567,1,1,0,4032,0,4033,3567,0,0,false
6,10pct,generated_direct_selective,4216.6,4222.2,4224.1,116065735014,403,1552,2312,2312,11,0,0,403,0,393,9024,0,0,false
6,10pct,parquet_row_selection,10499.9,10502.3,10511.5,116065735014,403,0,3469,3469,5,0,0,403,0,403,6511,0,0,false
6,50pct,generated_selective,14807.8,14808.1,14817.8,423263374950,2016,8896,3567,3567,2,1,0,2016,0,2017,3567,0,0,false
6,50pct,generated_fused,24580.6,24594.3,24600.5,423263374950,2016,17464,3567,3567,1,1,0,4032,0,4033,3567,0,0,false
6,50pct,generated_direct_selective,15688.6,15689.0,15698.0,423263374950,2016,4514,5416,5416,26,0,0,2016,0,1472,9024,0,0,false
6,50pct,parquet_row_selection,15002.0,15017.4,15026.0,423263374950,2016,0,4758,4758,6,0,0,2016,0,2016,6511,0,0,false
7,0.1pct,generated_selective,11991.6,11995.2,11998.7,8701600,4,344,13212,13212,2,1,0,4,0,5,13212,0,0,false
7,0.1pct,generated_fused,28634.0,28667.8,28671.7,8701600,4,16456,13212,13212,1,1,0,4032,0,4033,13212,0,0,false
7,0.1pct,generated_direct_selective,105.8,105.8,106.1,8701600,4,280,776,776,3,0,0,4,0,5,16704,0,0,false
7,0.1pct,parquet_row_selection,6954.6,6960.1,6966.7,8701600,4,0,4361,4361,4,0,0,4,0,4,13511,0,0,false
7,1pct,generated_selective,12103.6,12105.6,12109.1,97169050,40,488,13212,13212,2,1,0,40,0,41,13212,0,0,false
7,1pct,generated_fused,28646.7,28683.4,28688.7,97169050,40,16456,13212,13212,1,1,0,4032,0,4033,13212,0,0,false
7,1pct,generated_direct_selective,232.1,234.1,239.1,97169050,40,424,776,776,3,0,0,40,0,41,16704,0,0,false
7,1pct,parquet_row_selection,6954.8,6962.4,6965.4,97169050,40,0,4361,4361,4,0,0,40,0,40,13511,0,0,false
7,10pct,generated_selective,13477.2,13480.7,13492.3,1031478178,403,1940,13212,13212,2,1,0,403,0,404,13212,0,0,false
7,10pct,generated_fused,28783.8,28786.6,28789.4,1031478178,403,16456,13212,13212,1,1,0,4032,0,4033,13212,0,0,false
7,10pct,generated_direct_selective,1602.3,1609.1,1610.8,1031478178,403,1876,2312,2312,3,0,0,403,0,404,16704,0,0,false
7,10pct,parquet_row_selection,8126.2,8131.1,8136.7,1031478178,403,0,7246,7246,5,0,0,403,0,403,13511,0,0,false
7,50pct,generated_selective,19535.5,19542.5,19545.6,12948315171,2016,8392,13212,13212,2,1,0,2016,0,2017,13212,0,0,false
7,50pct,generated_fused,29326.1,29327.1,29333.9,12948315171,2016,16456,13212,13212,1,1,0,4032,0,4033,13212,0,0,false
7,50pct,generated_direct_selective,7574.4,7574.5,7583.4,12948315171,2016,8328,8968,8968,3,0,0,2016,0,2017,16704,0,0,false
7,50pct,parquet_row_selection,11466.6,11482.4,11493.2,12948315171,2016,0,10685,10685,6,0,0,2016,0,2016,13511,0,0,false
8,0.1pct,generated_selective,14322.6,14327.4,14328.9,26520,4,350,4849,4849,2,1,0,4,0,8,4849,0,0,false
8,0.1pct,generated_fused,69478.2,69482.9,69513.3,26520,4,10697,4849,4849,1,1,0,4730,0,9460,4849,0,0,false
