column,group,source,name,rows,recipe,file_bytes,selected
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Frame(RLE(FOR(BitPack)))",123027,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Dictionary(BitPack)",132800,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"FOR(BitPack)",180544,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Delta(BitPack)",201024,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"FOR(Delta(BitPack))",201152,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"Dictionary(RLE(BitPack))",583488,0
10,"publicbi","Bimbo","c3_Demanda_uni_equil_x1",131072,"RLE(FOR(BitPack))",623648,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(UnsignedDelta(BitPack))",26188,1
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(Delta(BitPack))",26312,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(FOR(Delta(BitPack)))",26437,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"UnsignedDelta(BitPack)",86336,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(RLE(FOR(BitPack)))",96099,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Delta(BitPack)",102720,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"FOR(Delta(BitPack))",102848,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(Dictionary(RLE(BitPack)))",122766,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(Dictionary(BitPack))",167553,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Frame(FOR(BitPack))",197143,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"RLE(FOR(BitPack))",208560,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"FOR(BitPack)",278848,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Dictionary(RLE(BitPack))",461456,0
11,"tpch","lineitem","c0_l_orderkey_x1",131072,"Dictionary(BitPack)",507136,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Frame(FOR(BitPack))",21036,1
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Frame(Dictionary(BitPack))",21058,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Frame(Delta(BitPack))",21664,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Frame(FOR(Delta(BitPack)))",21672,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Frame(Dictionary(RLE(BitPack)))",47482,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Frame(RLE(FOR(BitPack)))",48487,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Dictionary(BitPack)",49472,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"FOR(BitPack)",49472,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Delta(BitPack)",69952,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"FOR(Delta(BitPack))",70080,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"RLE(FOR(BitPack))",585520,0
12,"tpch","lineitem","c3_l_linenumber_x1",131072,"Dictionary(RLE(BitPack))",585584,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"FOR(BitPack)",98624,1
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Frame(FOR(BitPack))",98700,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Dictionary(BitPack)",99008,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Frame(Dictionary(BitPack))",99084,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Frame(Delta(BitPack))",112486,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Frame(FOR(Delta(BitPack)))",112655,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Delta(BitPack)",119104,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"FOR(Delta(BitPack))",119232,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Frame(RLE(FOR(BitPack)))",127245,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Frame(Dictionary(RLE(BitPack)))",127405,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"RLE(FOR(BitPack))",642816,0
13,"tpch","lineitem","c4_l_quantity_x1",131072,"Dictionary(RLE(BitPack))",643200,0
