storage,filesystem,order,cache_state,policy,pages,logical_rows,selected_rows,file_bytes,required_bytes,scheduled_bytes,read_calls,gap_bytes,p25_ns,median_ns,p75_ns,os_read_bytes,os_read_chars,minor_faults,major_faults,query_transferred_bytes,checksum
temporary_mount,ext4,random,warm,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,296763117.0,297322393.0,297527831.0,0,29026515,0,0,21434570,886709640255874
temporary_mount,ext4,random,warm,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,296851239.0,296913833.0,296929426.0,0,29026515,0,0,21434570,886709640255874
temporary_mount,ext4,random,cold,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,438550832.0,439059424.0,440917344.0,26902528,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,random,cold,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,324147522.0,324188023.0,324658798.0,29028352,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,random,cold,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,323607063.0,324093492.0,324318399.0,29028352,21434706,0,0,21434570,886709640255874
temporary_mount,ext4,random,cold,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,323051493.0,323250041.0,323955817.0,29028352,23906155,0,0,21434570,886709640255874
temporary_mount,ext4,random,cold,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,317806013.0,318293482.0,318494444.0,29028352,29026515,0,0,21434570,886709640255874
temporary_mount,ext4,random,cold,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,318196838.0,318573542.0,320898942.0,29028352,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,warm,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296194058.0,297011792.0,297040635.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,warm,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296911072.0,297494104.0,297664610.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,warm,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296748769.0,296790121.0,297798941.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,warm,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,296659536.0,297258062.0,297337140.0,0,23906155,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,warm,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,298014405.0,298239440.0,298346832.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,warm,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297188639.0,298026202.0,298203287.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,cold,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296242513.0,297041649.0,297340276.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,cold,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,297447867.0,297759573.0,297783860.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,cold,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,297617792.0,297854486.0,298435266.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,cold,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,296511487.0,296737935.0,297476981.0,0,23906155,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,cold,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297843370.0,299015414.0,300417353.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,sequential,cold,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297650672.0,298314716.0,298638030.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,random,warm,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,295897528.0,296295804.0,296851627.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,random,warm,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296912047.0,297249373.0,297707467.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,random,warm,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296474874.0,297117195.0,297465456.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,random,warm,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,296351199.0,297148442.0,297263384.0,0,23906155,0,0,21434570,886709640255874
memory_mount,tmpfs,random,warm,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297104055.0,297515011.0,298088970.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,random,warm,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297457254.0,297965435.0,297967819.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,random,cold,per_page,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296491029.0,296495616.0,297376824.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,random,cold,sorted_closure,1024,90735351,29124514,29026379,21434570,21434570,1083,0,296749426.0,297001934.0,297317937.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,random,cold,coalesce_512b,1024,90735351,29124514,29026379,21434570,21434570,1083,0,297053100.0,297491698.0,297551817.0,0,21434706,0,0,21434570,886709640255874
memory_mount,tmpfs,random,cold,coalesce_4k,1024,90735351,29124514,29026379,21434570,23906019,119,2471449,296978549.0,297233742.0,297321092.0,0,23906155,0,0,21434570,886709640255874
memory_mount,tmpfs,random,cold,coalesce_64k,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297249856.0,297405659.0,298005927.0,0,29026515,0,0,21434570,886709640255874
memory_mount,tmpfs,random,cold,full_file,1024,90735351,29124514,29026379,21434570,29026379,1,7591809,297472039.0,297978858.0,300126833.0,0,29026515,0,0,21434570,886709640255874
